"id","league_id","date","season","round","type"
1,1,,1,1,QUARTERED_ONE_SHOT_SCORING
2,1,,1,2,QUARTERED_ONE_SHOT_SCORING
3,1,,1,3,QUARTERED_ONE_SHOT_SCORING
4,1,,1,4,QUARTERED_ONE_SHOT_SCORING
5,1,,2,1,QUARTERED_ONE_SHOT_SCORING
6,1,,2,2,QUARTERED_ONE_SHOT_SCORING
7,1,,2,3,QUARTERED_ONE_SHOT_SCORING
8,1,,2,4,QUARTERED_ONE_SHOT_SCORING
9,1,271,3,1,QUARTERED_TWO_SHOT_SCORING
10,1,283,3,2,QUARTERED_ONE_SHOT_SCORING
11,1,299,3,3,QUARTERED_TWO_SHOT_SCORING
12,1,311,3,4,QUARTERED_ONE_SHOT_SCORING
13,1,331,3,5,QUARTERED_TWO_SHOT_SCORING
14,1,343,3,6,QUARTERED_ONE_SHOT_SCORING
15,1,359,3,7,QUARTERED_TWO_SHOT_SCORING
16,1,371,3,8,QUARTERED_ONE_SHOT_SCORING
17,1,399,4,1,QUARTERED_TWO_SHOT_SCORING
18,1,411,4,2,QUARTERED_ONE_SHOT_SCORING
19,1,419,4,3,QUARTERED_ONE_SHOT_SCORING
20,1,427,4,4,QUARTERED_TWO_SHOT_SCORING
21,1,439,4,5,QUARTERED_ONE_SHOT_SCORING
22,1,447,4,6,QUARTERED_ONE_SHOT_SCORING
23,1,459,4,7,QUARTERED_TWO_SHOT_SCORING
24,1,471,4,8,QUARTERED_TWO_SHOT_SCORING
25,1,479,4,9,QUARTERED_ONE_SHOT_SCORING
26,1,487,4,10,QUARTERED_ONE_SHOT_SCORING
27,1,499,4,11,QUARTERED_TWO_SHOT_SCORING
28,1,507,4,12,QUARTERED_ONE_SHOT_SCORING
29,1,527,5,1,QUARTERED_ONE_SHOT_SCORING
30,1,535,5,2,QUARTERED_TWO_SHOT_SCORING
31,1,539,5,3,ENDURANCE_RACE
32,1,547,5,4,QUARTERED_ONE_SHOT_SCORING
33,1,555,5,5,QUARTERED_ONE_SHOT_SCORING
34,1,563,5,6,ENDURANCE_RACE
35,1,567,5,7,QUARTERED_ONE_SHOT_SCORING
36,1,575,5,8,QUARTERED_TWO_SHOT_SCORING
37,1,587,5,9,QUARTERED_ONE_SHOT_SCORING
38,1,595,5,10,QUARTERED_TWO_SHOT_SCORING
39,1,599,5,11,QUARTERED_TWO_SHOT_SCORING
40,1,607,5,12,QUARTERED_TWO_SHOT_SCORING
