"id","event_id","blob_id","position","points"
1,1,2,2,5
2,1,4,4,3
3,1,6,1,7
4,1,3,3,4
5,1,1,5,2
6,1,5,6,1
7,2,2,3,4
8,2,4,2,5
9,2,6,1,7
10,2,3,6,1
11,2,1,4,3
12,2,5,5,2
13,3,2,4,3
14,3,4,1,7
15,3,6,6,1
16,3,3,2,5
17,3,1,5,2
18,3,5,3,4
19,4,2,1,7
20,4,4,4,3
21,4,6,5,2
22,4,3,3,4
23,4,1,2,5
24,4,5,6,1
25,5,5,2,6
26,5,1,7,1
27,5,2,3,6
28,5,4,5,4
29,5,7,4,5
30,5,6,1,8
31,5,3,6,2
32,6,5,5,3
33,6,1,1,9
34,6,2,6,2
35,6,4,2,7
36,6,7,7,1
37,6,6,3,5
38,6,3,4,5
39,7,5,1,8
40,7,1,4,7
41,7,2,2,6
42,7,4,3,5
43,7,7,5,3
44,7,6,7,1
45,7,3,6,2
46,8,5,3,8
47,8,1,4,4
48,8,2,2,6
49,8,4,5,3
50,8,7,1,8
51,8,6,7,1
52,8,3,6,2
53,9,3,1,15
54,9,1,4,7
55,9,5,5,5
56,9,2,3,8
57,9,4,2,10
58,9,6,6,4
59,9,8,8,2
60,9,9,7,3
61,9,7,9,1
62,10,3,3,9
63,10,1,1,14
64,10,5,5,5
65,10,2,2,10
66,10,4,7,3
67,10,6,4,7
68,10,8,6,4
69,10,9,8,2
70,10,7,9,1
71,11,3,2,11
72,11,1,3,8
73,11,5,1,15
74,11,2,9,1
75,11,4,5,5
76,11,6,6,4
77,11,8,8,2
78,11,9,7,3
79,11,7,4,6
80,12,6,1,13
81,12,8,2,11
82,12,9,3,8
83,12,4,4,6
84,12,2,5,6
85,12,5,6,5
86,12,1,7,3
87,12,3,8,2
88,12,7,9,1
89,13,3,1,14
90,13,2,2,10
91,13,1,3,10
92,13,7,4,6
93,13,6,5,5
94,13,8,6,4
95,13,5,7,3
96,13,4,8,2
97,13,9,9,1
98,14,3,1,13
99,14,4,2,11
100,14,5,3,9
101,14,6,4,7
102,14,7,5,5
103,14,1,6,4
104,14,2,7,3
105,14,8,8,2
106,14,9,9,1
107,15,6,1,13
108,15,4,2,10
109,15,5,3,10
110,15,1,4,7
111,15,8,5,5
112,15,2,6,4
113,15,9,7,3
114,15,3,8,2
115,15,7,9,1
116,16,4,1,13
117,16,1,2,13
118,16,2,3,8
119,16,5,4,6
120,16,7,5,5
121,16,9,6,4
122,16,6,7,3
123,16,8,8,2
124,16,3,9,1
125,17,6,1,17
126,17,1,2,14
127,17,4,3,11
128,17,7,4,9
129,17,9,5,8
130,17,3,6,8
131,17,10,7,6
132,17,5,8,5
133,17,2,9,4
134,17,12,10,3
135,17,11,11,2
136,17,8,12,1
137,18,3,1,17
138,18,5,2,14
139,18,1,3,12
140,18,6,4,9
141,18,12,5,8
142,18,4,6,7
143,18,10,7,6
144,18,7,8,5
145,18,2,9,4
146,18,8,10,3
147,18,11,11,2
148,18,9,12,1
149,19,5,1,17
150,19,10,2,13
151,19,9,3,11
152,19,8,4,10
153,19,11,5,8
154,19,7,6,7
155,19,4,7,6
156,19,3,8,6
157,19,12,9,4
158,19,6,10,3
159,19,1,11,2
160,19,2,12,1
161,20,3,1,17
162,20,6,2,13
163,20,7,3,11
164,20,8,4,9
165,20,1,5,10
166,20,4,6,7
167,20,11,7,6
168,20,2,8,5
169,20,5,9,4
170,20,12,10,3
171,20,9,11,2
172,20,10,12,1
173,21,6,1,17
174,21,1,2,14
175,21,10,3,11
176,21,12,4,9
177,21,2,5,9
178,21,3,6,7
179,21,8,7,6
180,21,11,8,5
181,21,4,9,4
182,21,5,10,3
183,21,7,11,2
184,21,9,12,1
185,22,9,1,16
186,22,1,2,16
187,22,11,3,11
188,22,12,4,9
189,22,5,5,8
190,22,2,6,7
191,22,10,7,6
192,22,7,8,5
193,22,6,9,4
194,22,8,10,3
195,22,4,11,2
196,22,3,12,1
197,23,5,1,18
198,23,4,2,13
199,23,7,3,11
200,23,3,4,9
201,23,6,5,9
202,23,8,6,7
203,23,11,7,6
204,23,1,8,5
205,23,12,9,4
206,23,9,10,3
207,23,2,11,2
208,23,10,12,1
209,24,3,1,18
210,24,1,2,14
211,24,2,3,11
212,24,8,4,9
213,24,5,5,8
214,24,9,6,7
215,24,12,7,6
216,24,7,8,5
217,24,6,9,4
218,24,10,10,3
